priority_rank,company_id,propensity_score,converted_30d_actual,signal_1,signal_2,signal_3,EMPLOYEE_RANGE,ALEXA_RANK,INDUSTRY,llm_sales_brief
2997,3024,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,FINANCE,
2998,1934,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
2999,503,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3000,3676,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3001,4507,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3002,3957,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3003,3454,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,MARKETING,
3004,3849,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3005,900,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3006,2135,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3007,3305,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3008,2235,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3009,1494,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3010,1673,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3011,1252,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3012,3384,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3013,569,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3014,2948,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3015,4525,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,RESTAURANTS,
3016,1628,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3017,4157,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3018,1158,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3019,357,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3020,1154,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,LEISURE TRAVEL TOURISM,
3021,1815,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3022,1030,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3023,1908,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3024,4015,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3025,652,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3026,2219,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3027,3765,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3028,798,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3029,932,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,MARKETING,
3030,1808,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,TECH,
3031,2420,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3032,2654,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3033,1596,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3034,4647,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3035,3267,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3036,4708,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3037,942,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3038,3293,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3039,4751,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3040,876,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3041,2781,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3042,3360,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3043,1841,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3044,2121,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3045,1963,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3046,3921,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3047,1849,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3048,546,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3049,5087,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3050,3318,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,CONSTRUCTION,
3051,3736,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3052,5147,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3053,4380,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3054,917,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,HEALTHCARE,
3055,3341,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3056,863,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3057,3663,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3058,2489,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3059,2506,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3060,2308,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3061,3902,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3062,4416,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3063,2513,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3064,3737,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3065,3713,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3066,3108,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3067,3942,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3068,4198,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3069,3545,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3070,1922,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3071,4480,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3072,2474,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3073,783,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3074,377,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3075,2672,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3076,3937,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3077,5073,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3078,1276,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3079,4226,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3080,4403,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3081,1703,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3082,2884,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3083,4039,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3084,4982,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3085,4091,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3086,2900,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3087,5167,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,CONSTRUCTION,
3088,2243,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3089,1820,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3090,4546,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,MARKETING,
3091,1986,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3092,908,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3093,2224,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3094,529,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3095,1277,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3096,4544,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3097,2714,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3098,764,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3099,659,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3100,481,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,CONSTRUCTION,
3101,1855,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3102,2971,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3103,4110,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3104,2585,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3105,4295,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3106,4638,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3107,5100,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3108,4181,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,ENTERTAINMENT,
3109,1405,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3110,4819,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3111,3435,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3112,751,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3113,5059,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3114,1247,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3115,2559,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3116,1094,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3117,4487,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3118,3519,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3119,698,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3120,1212,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3121,1211,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,TECH,
3122,3867,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3123,3579,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3124,3558,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3125,1824,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3126,1950,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3127,2283,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3128,3963,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,CONSTRUCTION,
3129,2902,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3130,273,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3131,2514,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3132,2238,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3133,4772,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3134,1170,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3135,349,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3136,431,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3137,2952,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3138,788,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3139,4382,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3140,2624,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,IT_SERVICES,
3141,3323,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3142,2568,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3143,1476,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,MARKETING,
3144,1723,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3145,2299,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3146,1286,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3147,409,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3148,3873,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3149,272,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3150,4390,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3151,1518,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3152,904,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3153,1394,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),,16000001.0,UNKNOWN,
3154,3053,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
3155,3406,0.01,,Strong web presence (low Alexa rank) (SHAP: +0.540),Recent platform activity (SHAP: +0.147),Recently active (SHAP: +0.090),8.0,16000001.0,UNKNOWN,
